Difficulty,Word
easy,embarrass
easy,Wednesday
easy,necessary
easy,vacuum
easy,acquaintance
easy,professor
easy,speech
easy,nauseous
easy,conscious
easy,separate
easy,rhythm
easy,handkerchief
easy,receive
easy,definitely
easy,recommend
easy,tomorrow
easy,awkward
easy,occurrence
easy,argument
easy,peculiar
easy,sergeant
medium,liaison
medium,beginning
medium,acquire
medium,hormone
medium,resilient
medium,intelligence
medium,procrastinate
medium,recommend
medium,camaraderie
medium,reconciliation
hard,euphemism
hard,reservoir
hard,bureaucracy
hard,heterogeneity
hard,accord
hard,supersede
hard,available
hard,acquaintance
hard,facetious
hard,anecdote
hard,camaraderie
hard,reconciliation
hard,procrastinate
hard,acquire
expert,silhouette
expert,supersede
expert,heterogeneity
expert,acquiesce
expert,tenacious
expert,xylophone
expert,parallelogram
expert,thorough
expert,conscientious
expert,miscellaneous 
expert,ethereal 
expert,pseudonym
expert,rendezvous 
expert,bourgeois 
expert,idiosyncrasy
expert,onomatopoeia 

embarrass,Wednesday,necessary,vacuum,acquaintance,professor,speech,nauseous,conscious,separate,rhythm,handkerchief,receive,definitely,recommend,tomorrow,awkward,occurrence,argument
easy,peculiar
easy,sergeant
